timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:30:12.800, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.05 W, 35
2026/09/23 21:30:17.801, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.06 W, 34
2026/09/23 21:30:22.809, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 17.89 W, 34
2026/09/23 21:30:27.818, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.12 W, 34
2026/09/23 21:30:32.832, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 17.97 W, 34
2026/09/23 21:30:37.841, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 17.95 W, 33
2026/09/23 21:30:42.851, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.12 W, 33
2026/09/23 21:30:47.866, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 98 %, 448.59 W, 50
2026/09/23 21:30:52.880, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.87 W, 51
2026/09/23 21:30:57.890, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.89 W, 51
2026/09/23 21:31:02.906, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.82 W, 52
2026/09/23 21:31:07.921, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.83 W, 53
2026/09/23 21:31:12.922, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.64 W, 53
2026/09/23 21:31:17.935, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 99 %, 459.79 W, 54
2026/09/23 21:31:22.938, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.17 W, 55
2026/09/23 21:31:27.946, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.02 W, 56
2026/09/23 21:31:32.955, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.36 W, 56
2026/09/23 21:31:37.967, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.94 W, 56
2026/09/23 21:31:42.981, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.05 W, 57
2026/09/23 21:31:47.984, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.36 W, 57
2026/09/23 21:31:52.992, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 100 %, 460.32 W, 58
2026/09/23 21:31:57.998, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 53 %, 365.73 W, 48
2026/09/23 21:32:03.007, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 40.18 W, 41
2026/09/23 21:32:08.011, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.85 W, 40
2026/09/23 21:32:13.025, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.12 W, 40
2026/09/23 21:32:18.040, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.35 W, 40
2026/09/23 21:32:23.055, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 19.54 W, 39
2026/09/23 21:32:28.068, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.46 W, 39
2026/09/23 21:32:33.078, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.22 W, 38
2026/09/23 21:32:38.081, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.32 W, 38
2026/09/23 21:32:43.088, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.26 W, 37
2026/09/23 21:32:48.088, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.24 W, 37
2026/09/23 21:32:53.094, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.13 W, 37
2026/09/23 21:32:58.096, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.17 W, 36
2026/09/23 21:33:03.112, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.17 W, 36
2026/09/23 21:33:08.115, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.02 W, 36
2026/09/23 21:33:13.126, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.22 W, 35
